device_id,port,keepalivedelay,tcponly,username,password,labels
netconf-testtool-1783,1783,100,false,admin,admin,NETCONF
netconf-testtool-1784,1784,100,false,admin,admin,NETCONF
netconf-testtool-1785,1785,100,false,admin,admin,NETCONF
netconf-testtool-1786,1786,100,false,admin,admin,NETCONF
netconf-testtool-1787,1787,100,false,admin,admin,NETCONF
netconf-testtool-1788,1788,100,false,admin,admin,NETCONF
netconf-testtool-1789,1789,100,false,admin,admin,NETCONF
netconf-testtool-1790,1790,100,false,admin,admin,NETCONF
netconf-testtool-1791,1791,100,false,admin,admin,NETCONF
netconf-testtool-1792,1792,100,false,admin,admin,NETCONF
netconf-testtool-1793,1793,100,false,admin,admin,NETCONF
netconf-testtool-1794,1794,100,false,admin,admin,NETCONF
netconf-testtool-1795,1795,100,false,admin,admin,NETCONF
netconf-testtool-1796,1796,100,false,admin,admin,NETCONF
netconf-testtool-1797,1797,100,false,admin,admin,NETCONF
netconf-testtool-1798,1798,100,false,admin,admin,NETCONF
netconf-testtool-1799,1799,100,false,admin,admin,NETCONF
netconf-testtool-1800,1800,100,false,admin,admin,NETCONF
netconf-testtool-1801,1801,100,false,admin,admin,NETCONF
netconf-testtool-1802,1802,100,false,admin,admin,NETCONF
netconf-testtool-1803,1803,100,false,admin,admin,NETCONF
netconf-testtool-1804,1804,100,false,admin,admin,NETCONF
netconf-testtool-1805,1805,100,false,admin,admin,NETCONF
netconf-testtool-1806,1806,100,false,admin,admin,NETCONF
netconf-testtool-1807,1807,100,false,admin,admin,NETCONF
netconf-testtool-1808,1808,100,false,admin,admin,NETCONF
netconf-testtool-1809,1809,100,false,admin,admin,NETCONF
netconf-testtool-1810,1810,100,false,admin,admin,NETCONF
netconf-testtool-1811,1811,100,false,admin,admin,NETCONF
netconf-testtool-1812,1812,100,false,admin,admin,NETCONF
netconf-testtool-1813,1813,100,false,admin,admin,NETCONF
netconf-testtool-1814,1814,100,false,admin,admin,NETCONF
netconf-testtool-1815,1815,100,false,admin,admin,NETCONF
netconf-testtool-1816,1816,100,false,admin,admin,NETCONF
netconf-testtool-1817,1817,100,false,admin,admin,NETCONF
netconf-testtool-1818,1818,100,false,admin,admin,NETCONF
netconf-testtool-1819,1819,100,false,admin,admin,NETCONF
netconf-testtool-1820,1820,100,false,admin,admin,NETCONF
netconf-testtool-1821,1821,100,false,admin,admin,NETCONF
netconf-testtool-1822,1822,100,false,admin,admin,NETCONF
netconf-testtool-1823,1823,100,false,admin,admin,NETCONF
netconf-testtool-1824,1824,100,false,admin,admin,NETCONF
netconf-testtool-1825,1825,100,false,admin,admin,NETCONF
netconf-testtool-1826,1826,100,false,admin,admin,NETCONF
netconf-testtool-1827,1827,100,false,admin,admin,NETCONF
netconf-testtool-1828,1828,100,false,admin,admin,NETCONF
netconf-testtool-1829,1829,100,false,admin,admin,NETCONF
netconf-testtool-1830,1830,100,false,admin,admin,NETCONF
netconf-testtool-1831,1831,100,false,admin,admin,NETCONF
netconf-testtool-1832,1832,100,false,admin,admin,NETCONF
netconf-testtool-1833,1833,100,false,admin,admin,NETCONF
netconf-testtool-1834,1834,100,false,admin,admin,NETCONF
netconf-testtool-1835,1835,100,false,admin,admin,NETCONF
netconf-testtool-1836,1836,100,false,admin,admin,NETCONF
netconf-testtool-1837,1837,100,false,admin,admin,NETCONF
netconf-testtool-1838,1838,100,false,admin,admin,NETCONF
netconf-testtool-1839,1839,100,false,admin,admin,NETCONF
netconf-testtool-1840,1840,100,false,admin,admin,NETCONF
netconf-testtool-1841,1841,100,false,admin,admin,NETCONF
netconf-testtool-1842,1842,100,false,admin,admin,NETCONF
netconf-testtool-1843,1843,100,false,admin,admin,NETCONF
netconf-testtool-1844,1844,100,false,admin,admin,NETCONF
netconf-testtool-1845,1845,100,false,admin,admin,NETCONF
netconf-testtool-1846,1846,100,false,admin,admin,NETCONF
netconf-testtool-1847,1847,100,false,admin,admin,NETCONF
netconf-testtool-1848,1848,100,false,admin,admin,NETCONF
netconf-testtool-1849,1849,100,false,admin,admin,NETCONF
netconf-testtool-1850,1850,100,false,admin,admin,NETCONF
netconf-testtool-1851,1851,100,false,admin,admin,NETCONF
netconf-testtool-1852,1852,100,false,admin,admin,NETCONF
netconf-testtool-1853,1853,100,false,admin,admin,NETCONF
netconf-testtool-1854,1854,100,false,admin,admin,NETCONF
netconf-testtool-1855,1855,100,false,admin,admin,NETCONF
netconf-testtool-1856,1856,100,false,admin,admin,NETCONF
netconf-testtool-1857,1857,100,false,admin,admin,NETCONF
netconf-testtool-1858,1858,100,false,admin,admin,NETCONF
netconf-testtool-1859,1859,100,false,admin,admin,NETCONF
netconf-testtool-1860,1860,100,false,admin,admin,NETCONF
netconf-testtool-1861,1861,100,false,admin,admin,NETCONF
netconf-testtool-1862,1862,100,false,admin,admin,NETCONF
netconf-testtool-1863,1863,100,false,admin,admin,NETCONF
netconf-testtool-1864,1864,100,false,admin,admin,NETCONF
netconf-testtool-1865,1865,100,false,admin,admin,NETCONF
netconf-testtool-1866,1866,100,false,admin,admin,NETCONF
netconf-testtool-1867,1867,100,false,admin,admin,NETCONF
netconf-testtool-1868,1868,100,false,admin,admin,NETCONF
netconf-testtool-1869,1869,100,false,admin,admin,NETCONF
netconf-testtool-1870,1870,100,false,admin,admin,NETCONF
netconf-testtool-1871,1871,100,false,admin,admin,NETCONF
netconf-testtool-1872,1872,100,false,admin,admin,NETCONF
netconf-testtool-1873,1873,100,false,admin,admin,NETCONF
netconf-testtool-1874,1874,100,false,admin,admin,NETCONF
netconf-testtool-1875,1875,100,false,admin,admin,NETCONF
netconf-testtool-1876,1876,100,false,admin,admin,NETCONF
netconf-testtool-1877,1877,100,false,admin,admin,NETCONF
netconf-testtool-1878,1878,100,false,admin,admin,NETCONF
netconf-testtool-1879,1879,100,false,admin,admin,NETCONF
netconf-testtool-1880,1880,100,false,admin,admin,NETCONF
netconf-testtool-1881,1881,100,false,admin,admin,NETCONF
netconf-testtool-1882,1882,100,false,admin,admin,NETCONF
netconf-testtool-1883,1883,100,false,admin,admin,NETCONF
netconf-testtool-1884,1884,100,false,admin,admin,NETCONF
netconf-testtool-1885,1885,100,false,admin,admin,NETCONF
netconf-testtool-1886,1886,100,false,admin,admin,NETCONF
netconf-testtool-1887,1887,100,false,admin,admin,NETCONF
netconf-testtool-1888,1888,100,false,admin,admin,NETCONF
netconf-testtool-1889,1889,100,false,admin,admin,NETCONF
netconf-testtool-1890,1890,100,false,admin,admin,NETCONF
netconf-testtool-1891,1891,100,false,admin,admin,NETCONF
